12/6/2021 15:48 | pwHB4NmKyoOBDa9SP4FT8XNSfOKlaXOL | [info] | Method: GET | Status: 200 | IP : ::1 | URL : http://localhost:3000/healthcheck | Request Body : {} | Response :  null
12/6/2021 16:30 | WDhBZvZi6ORs2KiG5ZocfXA9GwX6J2FM | [info] | Method: GET | Status: 200 | IP : ::ffff:127.0.0.1 | URL : http://localhost:3000/myproj/v1/api/login | Request Body : {} | Response :  null
12/6/2021 16:31 | sHmJ8ImD98IlTV0EMWRIX3pmlIi59TfG | [info] | Method: GET | Status: 200 | IP : ::1 | URL : http://localhost:3000/myproj/v1/api/login | Request Body : {} | Response :  "reportData"
12/6/2021 16:31 | dz9XEbswEYlIBfLQT1BzSfMLSvIfbwaR | [info] | Method: GET | Status: 200 | IP : ::1 | URL : http://localhost:3000/myproj/v1/api/login | Request Body : {} | Response :  "reportData"
12/6/2021 16:32 | JRc2EwsnAgay5NjMkMqBTQgF1Np2zAdn | [info] | Method: GET | Status: 200 | IP : ::1 | URL : http://localhost:3000/myproj/v1/api/login | Request Body : {} | Response :  "reportData"
12/6/2021 16:32 | Bqc4Gxz2Iq2TAbWyRPU046SgxuqbviOx | [info] | Method: GET | Status: 200 | IP : ::1 | URL : http://localhost:3000/myproj/v1/api/login | Request Body : {} | Response :  "reportData"
12/6/2021 16:33 | r8oVmDcjFF6D2mhSqLxjGAp3lCzOXfMC | [info] | Method: GET | Status: 200 | IP : ::1 | URL : http://localhost:3000/myproj/v1/api/login | Request Body : {} | Response :  "reportData"
12/6/2021 16:34 | 9eNzvGL7NmcH36jbyfy2I070qJ6V6V80 | [info] | Method: GET | Status: 200 | IP : ::1 | URL : http://localhost:3000/myproj/v1/api/login | Request Body : {} | Response :  "reportData"
12/6/2021 18:21 | 98hUsv4YWm2fq3HwUBoTn92iKQk3vV3O | [info] | Method: GET | Status: 200 | IP : ::1 | URL : http://localhost:3000/myproj/v1/api/login | Request Body : {} | Response :  [{"isConfirmed":true,"otpTries":0,"status":true,"_id":"60c45781c4a5eb1734110751","firstName":"test","lastName":"testing","email":"test@testing.com","password":"$2b$10$SM6htqfLyLwFTuyX6wte2uJqTTqlCJSeatuixTKtkk08xcv7XoYuy","confirmOTP":"9310","createdAt":"2021-06-12T06:43:13.305Z","updatedAt":"2021-06-12T06:43:13.305Z","__v":0}]
12/6/2021 19:26 | FClwAXHF64nGvOgmzflFI9C9INtroPiT | [info] | Method: GET | Status: 200 | IP : ::1 | URL : http://localhost:3000/myproj/v1/api/login | Request Body : {} | Response :  [{"_id":"60c45781c4a5eb1734110751","email":"test@testing.com"}]
12/6/2021 19:28 | LTtGVXWbCrYbEuTmqF7HLi168wTKzZwv | [info] | Method: GET | Status: 200 | IP : ::1 | URL : http://localhost:3000/myproj/v1/api/login | Request Body : {} | Response :  [{"_id":"60c45781c4a5eb1734110751","email":"test@testing.com"}]
12/6/2021 19:28 | IJdgGutp3ckpVXHTQ4k9YSn61G8JS6p0 | [info] | Method: GET | Status: 200 | IP : ::1 | URL : http://localhost:3000/myproj/v1/api/login | Request Body : {} | Response :  [{"_id":"60c45781c4a5eb1734110751","email":"test@testing.com"}]
12/6/2021 19:29 | pEi6VMNDqp2idVwYXft4WYc52OXATYM5 | [info] | Method: GET | Status: 200 | IP : ::1 | URL : http://localhost:3000/myproj/v1/api/login | Request Body : {} | Response :  [{"isConfirmed":true,"otpTries":0,"status":true,"firstName":"test","lastName":"testing","email":"test@testing.com","password":"$2b$10$SM6htqfLyLwFTuyX6wte2uJqTTqlCJSeatuixTKtkk08xcv7XoYuy","confirmOTP":"9310","createdAt":"2021-06-12T06:43:13.305Z","updatedAt":"2021-06-12T06:43:13.305Z","__v":0}]
12/6/2021 19:30 | XirNNMAHRYlh2mswV72F6nRqkX2AJT0V | [info] | Method: GET | Status: 200 | IP : ::1 | URL : http://localhost:3000/myproj/v1/api/login | Request Body : {} | Response :  [{"isConfirmed":true,"otpTries":0,"status":true,"firstName":"test","lastName":"testing","password":"$2b$10$SM6htqfLyLwFTuyX6wte2uJqTTqlCJSeatuixTKtkk08xcv7XoYuy","confirmOTP":"9310","createdAt":"2021-06-12T06:43:13.305Z","updatedAt":"2021-06-12T06:43:13.305Z","__v":0}]
12/6/2021 19:30 | WkZI7PqPeWri8Zu9ftkPqf6CGnLwEFoW | [info] | Method: GET | Status: 200 | IP : ::1 | URL : http://localhost:3000/myproj/v1/api/login | Request Body : {} | Response :  [{"email":"test@testing.com"}]
12/6/2021 19:31 | yZq38Fsas1ebt4Ec6i2L5zSl60K4oG8o | [info] | Method: GET | Status: 200 | IP : ::1 | URL : http://localhost:3000/myproj/v1/api/login | Request Body : {} | Response :  [{"email":"test@testing.com","password":"$2b$10$SM6htqfLyLwFTuyX6wte2uJqTTqlCJSeatuixTKtkk08xcv7XoYuy"}]
